Areox,12677.3,98.4609,60584,279
Chisato Arashi,12666.7,99.1083,161915,280
Skill,12665.2,99.6034,147465,281
YASEN,12655.5,96.6834,165086,282
THE GAME,12642.3,96.3777,9998,283
MrBooM,12639.6,99.079,79231,284
Yuuzinho,12638.4,98.9738,236898,285
Vento,12635.2,98.5945,144989,286
RhythmicRS,12634.3,97.9867,87849,287
WubWoofWolf,12632.3,99.1367,306464,288
Smarteyy,12632.3,99.0905,95474,289
Hauls,12627.4,98.0195,92365,290
ramtin,12624.6,99.2449,153020,291
teii_,12621.4,99.2704,237605,292
Nongsa,12607.8,98.7969,92042,293
Bloodworm,12600,97.8068,94489,294
_demo,12596.7,97.6906,188376,295
Fangzy,12595.8,99.2698,217072,296
Ryuzaki,12591.5,99.2041,139418,297
Mahmood,12584.1,98.4886,81212,298
Xyloz,12583.6,99.1457,111545,299
Kryterion,12582.9,99.0721,151611,300
Mac,12580.2,99.0748,148189,301
Mya3,12578,98.9809,70895,302
PikaPwn,12568.8,99.5471,97104,303
carbon dioxide,12564.6,98.2385,111156,304
Jemzsee,12560.5,98.5168,91947,305
Faakiee,12555.1,98.4078,77596,306
Tj7223,12554.7,99.5981,95406,307
Rebo,12554.5,99.1644,111199,308
TESTER PIVKA,12551.5,98.8949,31128,309
Azali,12545.6,97.1518,45057,310
Aldrouch,12544.8,98.7514,131216,311
Calideon,12543.8,98.0955,62372,312
Freezd,12540.8,99.284,96413,313
WillCookie,12533.7,99.2499,143007,314
Musty,12529.1,99.2684,149074,315
- Nikliu -,12527.3,98.5017,109001,316
Mag,12516.3,98.1361,182051,317
emmyerson,12512.7,98.9548,138757,318
haruchi,12503.9,98.6779,112077,319
[sin],12490.5,98.4652,115431,320
Monk The Don,12487.9,98.4111,303572,321
Zydan,12477.5,98.8705,72387,322
lolol233,12473.4,98.8723,138232,323
KC Snorlaax,12468.9,98.4464,117192,324
AbrahamR,12459.9,98.9564,119996,325
Knalli,12459.4,99.0557,68419,326
vain,12448.4,99.1609,122270,327
- Heatwave -,12443.2,98.9899,194395,328
Rikiya,12440.2,99.0537,148998,329
BronyPH,12438.7,99.4555,108389,330
roliy,12435.4,98.2701,86448,331
kurtis-,12434.7,98.4904,75900,332
Saryi,12409.6,99.4436,123717,333
Mathyu,12399.7,98.9988,195029,334
Envy_ss,12398,97.439,140856,335
floppu-desu,12397.2,97.296,109633,336
GfMRT,12393.9,98.8398,143105,337
DigitalHypno,12390.7,99.2058,93710,338
Frosiito,12386.2,99.0519,165847,339
bananaboi 2,12379.2,98.5765,58859,340
VilaZ,12377.5,98.5302,102336,341
Veth,12371.5,99.469,152093,342
ItsKevZii,12370,98.3326,189954,343
Haadez,12360.2,98.6897,160827,344
FreeDom,12357.1,99.1349,151676,345
Ekoro,12357.1,98.5921,112627,346
Zeisen,12349.5,97.7409,108923,347
hvick1112,12349.4,94.4,135422,348
[RyuTell],12348.6,98.916,95812,349
